
# ===== 2026-09-22 12:08:31 KST  D1V3160000 attempt 1  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 0.01 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   92 | train 7.400038e-01 | val 7.398970e-01 |  61.031 s | best 7.398970e-01 @92 * | asym_reg 4.032632e-02
epoch   93 | train 7.412136e-01 | val 7.399060e-01 |  52.750 s | best 7.398970e-01 @92 | asym_reg 3.992360e-02
epoch   94 | train 7.394906e-01 | val 7.398953e-01 |  83.493 s | best 7.398953e-01 @94 * | asym_reg 3.990396e-02
epoch   95 | train 7.387964e-01 | val 7.399074e-01 |  86.525 s | best 7.398953e-01 @94 | asym_reg 3.979179e-02
epoch   96 | train 7.388312e-01 | val 7.398866e-01 |  85.529 s | best 7.398866e-01 @96 * | asym_reg 3.909390e-02
epoch   97 | train 7.396898e-01 | val 7.398800e-01 |  84.887 s | best 7.398800e-01 @97 * | asym_reg 3.877805e-02
epoch   98 | train 7.386711e-01 | val 7.398595e-01 |  84.755 s | best 7.398595e-01 @98 * | asym_reg 3.973499e-02
epoch   99 | train 7.393042e-01 | val 7.398834e-01 |  85.605 s | best 7.398595e-01 @98 | asym_reg 3.955054e-02
epoch  100 | train 7.388722e-01 | val 7.398747e-01 |  85.214 s | best 7.398595e-01 @98 | asym_reg 3.948620e-02
epoch  101 | train 7.401191e-01 | val 7.398834e-01 |  85.124 s | best 7.398595e-01 @98 | asym_reg 3.963263e-02
epoch  102 | train 7.401860e-01 | val 7.398964e-01 |  83.004 s | best 7.398595e-01 @98 | asym_reg 3.918824e-02
epoch  103 | train 7.386562e-01 | val 7.398999e-01 |  86.050 s | best 7.398595e-01 @98 | asym_reg 3.944128e-02
epoch  104 | train 7.392791e-01 | val 7.399046e-01 |  84.024 s | best 7.398595e-01 @98 | asym_reg 3.922530e-02
epoch  105 | train 7.410170e-01 | val 7.399003e-01 |  82.988 s | best 7.398595e-01 @98 | asym_reg 3.953957e-02
epoch  106 | train 7.399025e-01 | val 7.398929e-01 |  82.135 s | best 7.398595e-01 @98 | asym_reg 3.972224e-02
epoch  107 | train 7.399926e-01 | val 7.398899e-01 |  83.753 s | best 7.398595e-01 @98 | asym_reg 3.876964e-02
epoch  108 | train 7.402490e-01 | val 7.398956e-01 |  79.884 s | best 7.398595e-01 @98 | asym_reg 3.824428e-02
epoch  109 | train 7.394060e-01 | val 7.398820e-01 |  59.613 s | best 7.398595e-01 @98 | asym_reg 3.849527e-02
