trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
22,8.048064748623995,423.8,,unet,edm,pixel,32,2,0.00016127986508313445,0.9999,256,256,,,1075298,348,0.8529572486877441,patience,1.8208627757320045e-16,0.09101866987680407,1.2072097122935992,0.2964546744016224,0.12601868385403164
17,9.518612497078056,262.2,,mlp,vp,pixel,384,5,0.0007754613993045128,0.9999,256,256,,,1774528,600,0.7586355805397034,max_epochs,1.3666920242432303e-15,0.1863504948308452,1.4277918745617084,0.5059097461670001,0.49398076479766334
22,3.112696063052904,507.2,,dit,edm,pixel,128,8,8.616943517245177e-05,0.99,256,256,4,2,2460296,293,0.8322542905807495,patience,1.8992002075383039e-16,0.04599489240300425,0.46690440945793554,0.29589302030835635,0.03920223856318471
14,6.647141728753221,541.7,,mlp,edm,angle,128,8,0.0006232421378722613,0.9999,128,64,,,305600,511,0.8396955132484436,patience,2.0494931466988716e-16,0.06753944131505052,0.9970712593129831,0.2734425174152494,0.06420765100982705
14,2.3996944890950807,1310.4,,adm,ve,angle,48,2,0.00113721229112912,0.9999,128,256,2,,2859314,356,0.7311580777168274,patience,1.9297375799526985e-16,0.05134581216208689,0.35995417336426205,0.3566370433016083,0.08861700131148406
23,9.353543410886125,224.2,,dit,ve,angle,256,7,0.00017341169904252156,0.9995,512,128,8,2,8521224,259,0.7486721873283386,patience,2.84326044876847e-16,0.07981113846972065,1.4030315116329188,0.3876571953690384,0.07055531590163146
15,48.84416310874498,135.0,,adm,vp,pixel,128,2,0.004848213220508992,0.9999,128,128,2,,20000898,19,0.9797784090042114,patience,1.5175601160312215e-16,2.4422081554372492,1.0324298902217626,1.9697616763740904,2.4234722504799824
19,4.821718506910699,240.6,,mlp,vp,pixel,256,3,7.838364172034728e-05,0.9995,128,256,,,559424,381,0.7681193947792053,patience,8.680250038079166e-16,0.17168109625769845,0.7232577760366048,0.4620188595529524,0.16584956321588554
18,7.251502492890225,320.9,,mlp,edm,pixel,256,5,0.0006026861185853809,0.9999,128,256,,,822592,415,0.8409125208854675,patience,1.94092207756163e-16,0.07214648382570354,1.0877253739335337,0.2652637864126525,0.06602750118733798
20,6.357633779597148,105.8,,mlp,vp,angle,512,2,0.00031104275500753916,0.9995,512,64,,,1412672,544,0.7478023767471313,patience,1.2830108637243008e-15,0.10790337557409035,0.9536450669395721,0.3776274404073879,0.14275611834123417
21,5.729126023693769,118.9,,mlp,ve,angle,512,2,0.0005671576559824788,0.99,128,64,,,1412672,182,0.7446374893188477,patience,2.177401085749945e-16,0.11812098080957334,0.8593689035540653,0.39577765562845757,0.08460650479458462
23,5.861475145340688,51.4,,mlp,vp,pixel,512,2,0.00021541433275216426,0.99,512,256,,,1510976,118,0.7687832713127136,patience,9.291980751412412e-16,0.1834915559828716,0.8792212718011032,0.4791686664048249,0.1894395546136222
22,7.243563658980414,126.4,,mlp,vp,pixel,128,3,5.84487228107452e-05,0.99,256,64,,,140480,334,0.7796081304550171,patience,6.389272826086834e-16,0.3621781829490207,0.9244661125264546,0.7125149349487749,0.35001325559356955
23,6.4770872032266515,615.9,,unet,vp,pixel,16,2,0.0006727402413869976,0.9999,256,256,,,278322,553,0.7449875473976135,patience,1.4826234378209534e-15,0.10506914707092019,0.9715630804839978,0.3834849510158685,0.34736850898292504
25,5.757982259994858,59.6,,mlp,vp,pixel,256,8,0.000859764064976851,0.99,512,256,,,1217344,103,0.7701046466827393,patience,9.444126064918326e-16,0.2017641811653259,0.8636973389992286,0.502176299419026,0.2232548419876488
24,5.124730382306719,131.7,,mlp,ve,angle,512,2,0.00045339874992111786,0.999,128,128,,,1445440,205,0.7426777482032776,patience,2.26861481772226e-16,0.11067547905304953,0.7687095573460079,0.39559528469564403,0.08027217181881245
26,5.440884102774634,116.6,,mlp,vp,pixel,512,4,0.00023948195967636018,0.999,512,64,,,2463296,409,0.7468302249908447,patience,1.162134382982489e-15,0.10428571064034564,0.8161326154161951,0.383065984761455,0.10358447360170196
24,2.158041896650242,142.1,,unet,ve,pixel,128,4,0.0013968157036887527,0.99,512,64,,,16650626,81,0.7287769913673401,patience,2.6100147701163355e-16,0.030278334600368106,0.3237062844975363,0.2607540201697291,0.07122150392547663
24,1.865157773030107,557.5,,dit,ve,angle,256,8,0.0017186690856512766,0.99,128,64,4,1,9691394,151,0.728592574596405,patience,2.4316123811785096e-16,0.01745888861527556,0.279773665954516,0.1744600001990494,0.020252279922171247
