trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
433,10.918549941801814,133.8,,adm,edm,angle,128,6,0.0021367518597527543,0.999,256,256,4,,23808130,16,0.9909594655036926,patience,1.293031129635782e-16,0.5459274970900907,0.9641251920422559,0.7547179559393754,0.5460547962451057
428,1.5510662452725623,358.7,,uvit,vp,angle,64,7,0.001948791208129189,0.999,256,256,8,1,397864,230,0.7283533811569214,patience,9.080678786133184e-16,0.01870495675541517,0.23265993679088434,0.19441821678011315,0.025091674374412086
432,1.6070860369542468,273.0,,dit,vp,angle,64,6,0.0036667916582434,0.999,256,256,8,1,479426,169,0.7280862927436829,patience,9.435756314934926e-16,0.014177096810347178,0.241062905543137,0.17062548843893205,0.03805946024608942
436,1.5886337935403037,112.8,,dit,ve,angle,64,6,0.002325272274398508,0.999,256,256,8,1,479426,172,0.7288027405738831,patience,2.7227806197219497e-16,0.019400065697704694,0.23829506903104555,0.18395496424416843,0.023953836605297724
434,1.51892676655529,214.1,,dit,edm,angle,64,6,0.002357357121259612,0.99,256,256,8,1,479426,126,0.8202723860740662,patience,1.8992492284452648e-16,0.015278870434131342,0.22783901498329348,0.16408646040971492,0.039639118275026204
435,1.5274609268999966,214.8,,dit,vp,angle,64,6,0.0022496701137480666,0.99,256,256,8,1,479426,135,0.7280682921409607,patience,9.538492216244055e-16,0.012498163117321548,0.22911913903499947,0.17324486381438747,0.030448482565875002
440,1.6518206047313648,145.5,,uvit,vp,angle,64,7,0.00148652698870715,0.999,256,256,8,1,397864,239,0.7281794548034668,patience,9.195186102350832e-16,0.015895251100380703,0.2477730907097047,0.17553422987146283,0.022572677728038316
438,1.6928208551445154,242.0,,dit,vp,angle,64,7,0.0017159836572291653,0.99,256,256,8,1,554114,131,0.7290188670158386,patience,9.32763786982545e-16,0.02071016504137191,0.2539231282716773,0.18728423386553966,0.04330295510352859
442,5.592557984749837,92.4,,mlp,edm,angle,512,2,0.0024038805602269063,0.99,256,256,,,1510976,226,0.8409882187843323,patience,2.2288198096096607e-16,0.09513697483225836,0.8388836977124755,0.33716604625529073,0.08375129449362882
437,1.7789053651921802,320.4,,dit,ve,angle,64,6,0.0021177769862435218,0.999,256,128,8,1,471234,200,0.7282339930534363,patience,2.3427814177676746e-16,0.014258993709084233,0.266835804778827,0.1759810967326602,0.0224570932262497
443,1.4805921308671572,102.7,,dit,vp,angle,64,7,0.002265880386361307,0.99,256,256,8,1,554114,139,0.7272911667823792,patience,9.231748101813543e-16,0.01365811393061711,0.22208881963007357,0.17374643372015047,0.05990557016088215
439,1.9639944771293831,377.3,,conv,vp,angle,16,6,0.0018912574705265024,0.999,256,256,,,32818,320,0.7298254370689392,patience,9.950415723799348e-16,0.06960373839807388,0.2686552547770601,0.39279889542587665,0.07567303577182895
444,1.6227338853219928,217.9,,dit,edm,angle,64,6,0.0026616751461564963,0.99,256,256,8,1,479426,132,0.8201978802680969,patience,1.8874808389189346e-16,0.01486256477874548,0.2434100827982989,0.16446756737029994,0.018760811555724084
446,1.6604490095731885,283.9,,dit,edm,angle,64,6,0.0022492036796262216,0.99,256,256,8,1,479426,170,0.8199883103370667,patience,2.1818157567712844e-16,0.017158926587125256,0.24906735143597827,0.1598771366362771,0.023435430346439
448,1.4984937427373475,235.1,,dit,vp,angle,64,7,0.002497573694681904,0.99,256,256,8,1,554114,124,0.7281116247177124,patience,9.753417395145828e-16,0.011277257530058149,0.2247740614106021,0.15780193765190736,0.02375865154563024
449,1.758704122908514,298.6,,dit,ve,angle,64,7,0.001460989516401337,0.999,256,256,8,1,554114,191,0.7286441922187805,patience,2.4038333765656933e-16,0.014241654464070885,0.2638056184362771,0.17358253193811024,0.020922376715821304
445,1.7077469397498584,542.1,,adm,edm,angle,32,4,0.0010926509790268942,0.999,128,64,4,,1259554,117,0.8205753564834595,patience,2.027031551983607e-16,0.04157130567177569,0.2289706811087188,0.3415493879499717,0.04655496783118704
453,4.90408890419079,117.6,,mlp,ve,angle,256,3,0.0026603720966194557,0.999,256,256,,,559424,291,0.7429866194725037,patience,2.791609566502383e-16,0.1416438936455915,0.7356133356286184,0.47241754765385385,0.08523629347705082
451,1.613716533286518,253.7,,dit,vp,angle,64,7,0.0023285864829131987,0.99,256,256,8,1,554114,136,0.7281951904296875,patience,9.523427921317515e-16,0.013970772915436802,0.2420574799929777,0.17247525215718304,0.0420044184607007
447,45.18282907267051,623.4,,adm,vp,angle,128,2,0.0024865488293158264,0.99,256,256,4,,20066434,194,0.9724993109703064,patience,3.4320880813209475e-16,2.2591414536335255,0.9811310253119159,1.8971184844082305,2.254754581714755
450,1.8659915122958115,432.2,,uvit,vp,angle,64,7,0.0020077231860023198,0.99,256,256,8,1,397864,269,0.7287140488624573,patience,9.457005123106579e-16,0.023410737226275735,0.2798987268443717,0.20115120832965022,0.024368384037854025
457,1.7257023710867614,296.1,,dit,vp,angle,64,7,0.0020168861352273266,0.99,256,256,8,1,554114,151,0.7279311418533325,patience,9.518647714289621e-16,0.011346542283612315,0.2588553556630142,0.16420875748118963,0.02466153083302309
455,1.9057376673619217,418.4,,unet,ve,angle,16,8,0.0020364078345927825,0.999,256,256,,,331218,162,0.7297108173370361,patience,2.113379466280462e-16,0.059577765404100314,0.28586065010428824,0.37819953155268504,0.0909564712572019
454,1.6738174961516759,439.4,,uvit,vp,angle,64,7,0.001905751352753792,0.999,256,256,8,1,397864,284,0.7291063666343689,patience,9.289759135688767e-16,0.023765807504707803,0.25107262442275136,0.20278798654269076,0.03174043193937698
456,1.599427204584594,445.9,,uvit,vp,angle,64,7,0.0008611027358304942,0.999,256,256,8,1,397864,278,0.7287129163742065,patience,9.8835979238529e-16,0.01701595152467994,0.2399140806876891,0.1853586016308772,0.022819530257648296
461,48.82169165209331,93.6,,adm,ve,pixel,96,2,0.0038157080154266635,0.9995,256,256,2,,11317346,18,0.9685686230659485,patience,6.574005930703713e-17,2.4410845826046654,1.005738217699639,1.9694527910916706,2.4229649421383685
452,2.3586203828808268,763.5,,uvit,ve,angle,64,7,0.003674946505468535,0.999,256,256,8,1,397864,600,0.7308710813522339,max_epochs,2.307473233052888e-16,0.03398414505129255,0.35379305743212397,0.26932086375323255,0.04641456062308469
459,5.386164542301014,189.7,,mlp,vp,angle,384,7,0.002373717410188874,0.99,128,256,,,2365888,178,0.7501371502876282,patience,1.0296038393143745e-15,0.1456488687629336,0.807924681345152,0.43715282892209467,0.1468351582126585
462,1.903509157829431,152.9,,dit,vp,angle,64,6,0.0026500532080263135,0.99,512,256,8,1,479426,157,0.7287192344665527,patience,9.561890729535678e-16,0.014880310965955434,0.28552637367441464,0.18159196846355163,0.03262872841473065
458,1.8465070424690064,430.8,,uvit,vp,angle,64,7,0.002317046137527333,0.99,256,64,8,1,385576,269,0.7307037711143494,patience,9.5269223819468e-16,0.038185326942212106,0.27697605637035094,0.25010596513224187,0.057909424987205096
460,2.226586867759439,392.0,,uvit,vp,angle,64,6,0.002827418286029938,0.99,256,256,8,1,397864,250,0.7351405620574951,patience,8.520263229961111e-16,0.053917016463428835,0.33398803016391587,0.32032749662906407,0.07143273788002583
441,2.0454880379806593,1710.9,,adm,edm,angle,96,7,0.0007538455758781177,0.999,128,64,4,,13349474,265,0.8236742615699768,patience,2.379410396341311e-16,0.059093571350494756,0.2486508865460662,0.40909760759613184,0.06523683965530902
464,1.5922433637529105,299.1,,dit,ve,angle,64,6,0.0021116757567136084,0.999,256,256,8,1,479426,189,0.7277835011482239,patience,2.668485131597793e-16,0.010968096166969143,0.23883650456293656,0.17064057550963332,0.029774380193390602
463,1.959705430187537,378.6,,uvit,ve,pixel,64,6,0.0036660378745879967,0.99,256,256,8,1,397864,310,0.7308573722839355,patience,2.4791349513395985e-16,0.035336146752890985,0.2939558145281305,0.2885247460678183,0.04975321224534107
465,1.792407334322966,309.7,,dit,vp,pixel,64,6,0.0027074499606740687,0.99,256,256,8,1,479426,180,0.7288586497306824,patience,9.649293686212897e-16,0.014451149378943873,0.2688611001484449,0.1759682776912955,0.028808867694198548
467,1.460622888444611,210.1,,dit,vp,angle,64,8,0.002685299127594178,0.99,256,256,8,1,628802,101,0.7277283072471619,patience,9.22936107685497e-16,0.014457371121197271,0.21909343326669165,0.17928283832685601,0.03567759984870206
466,1.6229164467071557,238.3,,dit,vp,angle,64,7,0.002647792951633369,0.99,256,64,8,1,541826,123,0.7278640270233154,patience,9.465355298519586e-16,0.014565954094801326,0.24343746700607335,0.17007951598792784,0.034336843330656175
